Location,Latitude,Longitude
Bannerghatta Road,12.807066,77.578735
Banashankari,12.925453,77.546761
Basavanagudi,12.942117,77.575361
Bellandur,12.937562,77.670097
Brigade Road,12.970703,77.606808
Brookefield,12.973864,77.713768
BTM,12.9165757,77.610116
Church Street,12.975001,77.604675
Electronic City,12.840711,77.676369
Frazer Town,13.0713,77.5905
HSR,12.9081357,77.6476079
Indiranagar,12.971891,77.641151
Jayanagar,12.9301487,77.5877228
JP Nagar,12.89599,77.5582
Kalyan Nagar,13.028005, 77.639969
Kammanahalli,13.028005,77.639969
Koramangala 4th Block,12.931458,77.629986
Koramangala 5th Block,12.935216,77.619961
Koramangala 6th Block,12.9381776,77.6228252
Koramangala 7th Block,12.9340114,77.6222304
Lavelle Road,12.9750062,77.5998217
Malleshwaram,13.005459,77.569199
Marathahalli,12.9591722,77.69741899
MG Road,12.972996,77.616706
New BEL Road,13.031359,77.570244
Old Airport Road,12.9555,77.646
Rajajinagar,13.0178,77.55175
Residency Road,12.973926,77.611536
Sarjapur Road,12.854922,77.788116
Whitefield,12.971389,77.75013
